Designator,Footprint,Quantity,Value,LCSC Part #
ACIA1,DIP-28_W15.24mm_Socket,1,65C51N,
AUDIO1,Jack_3.5mm_CUI_SJ1-3533NG_Horizontal,1,AudioJack3,
"C1, C10, C13, C2, C3, C4, C5, C6, C7, C9",C_Disc_D4.7mm_W2.5mm_P5.00mm,10,0.1uF,
C11,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,100nf,
C12,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,47uf,
C14,CP_Radial_D6.3mm_P2.50mm,1,22uF,
C8,CP_Radial_D5.0mm_P2.50mm,1,10uF,
CLK1,Oscillator_DIP-14,1,8 Mhz,
CPU1,DIP-40_W15.24mm_Socket,1,65C02S,
DECODER1,DIP-24_W7.62mm_Socket,1,ATF22V10C-7,
NE1,DIP-8_W7.62mm,1,NE555,
PICO,RPi_Pico_SMD_TH,1,Pico,
POWER1,LED_D3.0mm_FlatTop,1,LED (BLUE),
PS/1,mini_din-6,1,Mini-DIN-6,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1M,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,47K,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,10K,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,220,
R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,100,
R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,2k,
R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,330,
RAM1,DIP-32_W15.24mm_Socket,1,AS6C1008-55PCN,
"RN1, RN2",R_Array_SIP6,2,4.7k,
RN3,R_Array_SIP6,1,1k,
RN4,R_Array_SIP6,1,470,
ROM1,DIP-32_W15.24mm_Socket,1,SST39SF010,
RS1,TerminalBlock_TE_282834-6_1x06_P2.54mm_Horizontal,1,FT234XD,
SW1,SW_PUSH_6mm,1,RESET,
SW2,SW_SPDT,1,SW_SPDT,
U1,DIP-14_W7.62mm_Socket,1,74HC00,
U3,TSSOP-20_4.4x6.5mm_P0.65mm,1,TXB0108PWR,
U4,SOIC-14_3.9x8.7mm_P1.27mm,1,TXB0104PW,
U5,SOIC-20W_7.5x12.8mm_P1.27mm,1,74LS573,
U6,TO-220-3_Vertical,1,TLV2217-33KCSE3,
USBC1,USBC_power,1,USB_C_Receptacle_PowerOnly,
VGA1,CONN_HDE15P_AMP,1,DE15_Receptacle_HighDensity,
VIA1,DIP-40_W15.24mm_Socket,1,65C22S,
X1,Oscillator_DIP-14,1,1.8Mhz,
